# This is a continuation of trace file C:\1c\1cedtstart\projects\Dev2\.metadata\trace.log.bak_2
# version: 1.1
# verbose: true
# Time of creation: 2024-11-06 15:09:30.482
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.497 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/ЗагрузкаДанныхИзФайла/Forms/ВыборКолонок/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.498 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Documents/НазначениеОпросов/Forms/ФормаПодбораРеспондентов/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.498 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/InformationRegisters/ВремяДоступаПользователейСУО/Forms/ФормаУстановкаВремени/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.498 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/CommonForms/СозданиеНачальногоОбразаСФайлами/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.499 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/CommonForms/ПраваДоступа/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.499 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/РегламентныеИФоновыеЗадания/Forms/РегламентныеИФоновыеЗадания/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.500 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/InformationRegisters/ДатыЗапретаИзменения/Forms/РедактированиеДатыЗапрета/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.500 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/ТомаХраненияФайлов/Forms/ФормаЭлемента/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.500 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/Catalogs/ПапкиФайлов/Forms/ФормаСписка/Form.form |
| Worker-17: Активация проектного контекста | 2024-11-06 15:09:30.501 | com._1c.g5.v8.dt.platform.services.core | /trace/infobase/resource-processing | com._1c.g5.v8.dt.internal.platform.services.core.PlatformServicesCore | trace | 233 | File has been synchronized with BM, going to determine list of what to update on infobase side: L/1С_Экзаменатор_демо/src/DataProcessors/ОценкаПроизводительности/Forms/АвтоматическийЭкспортЗамеровПроизводительности/Form.form |
